Season,Competition Name,# Squads,Champion,Top Scorer
2022-2023,Premier League,20,,Rodrigo - 3(Leeds United)
2021-2022,Premier League,20,Manchester City,Son Heung-min Mohamed Salah - 23(Tottenham Hotspur Liverpool)
2020-2021,Premier League,20,Manchester City,Harry Kane - 23(Tottenham Hotspur)
2019-2020,Premier League,20,Liverpool,Jamie Vardy - 23(Leicester City)
2018-2019,Premier League,20,Manchester City,Pierre-Emerick Aubameyang Sadio Mané... - 22(Arsenal Liverpool)
2017-2018,Premier League,20,Manchester City,Mohamed Salah - 32(Liverpool)
2016-2017,Premier League,20,Chelsea,Harry Kane - 29(Tottenham)
2015-2016,Premier League,20,Leicester City,Harry Kane - 25(Tottenham)
2014-2015,Premier League,20,Chelsea,Sergio Agüero - 26(Manchester City)
2013-2014,Premier League,20,Manchester City,Luis Suárez - 31(Liverpool)
2012-2013,Premier League,20,Manchester United,Robin van Persie - 26(Manchester United)
2011-2012,Premier League,20,Manchester City,Robin van Persie - 30(Arsenal)
2010-2011,Premier League,20,Manchester United,Dimitar Berbatov Carlos Tevez - 20(Manchester United Manchester City)
2009-2010,Premier League,20,Chelsea,Didier Drogba - 29(Chelsea)
2008-2009,Premier League,20,Manchester United,Nicolas Anelka - 19(Chelsea)
2007-2008,Premier League,20,Manchester United,Cristiano Ronaldo - 31(Manchester United)
2006-2007,FA Premier League,20,Manchester United,Didier Drogba - 20(Chelsea)
2005-2006,FA Premier League,20,Chelsea,Thierry Henry - 27(Arsenal)
2004-2005,FA Premier League,20,Chelsea,Thierry Henry - 25(Arsenal)
2003-2004,FA Premier League,20,Arsenal,Thierry Henry - 30(Arsenal)
2002-2003,FA Premier League,20,Manchester United,Ruud van Nistelrooy - 25(Manchester United)
2001-2002,FA Premier League,20,Arsenal,Thierry Henry - 24(Arsenal)
2000-2001,FA Premier League,20,Manchester United,Jimmy Floyd Hasselbaink - 23(Chelsea)
1999-2000,FA Premier League,20,Manchester United,Kevin Phillips - 30(Sunderland)
1998-1999,FA Premier League,20,Manchester United,Dwight Yorke Jimmy Floyd Hasselbaink - 18(Manchester United Chelsea)
1997-1998,FA Premier League,20,Arsenal,Michael Owen Chris Sutton... - 18(Liverpool Blackburn Rovers)
1996-1997,FA Premier League,20,Manchester United,Alan Shearer - 25(Newcastle United)
1995-1996,FA Premier League,20,Manchester United,Alan Shearer - 31(Blackburn Rovers)
1994-1995,FA Premier League,22,Blackburn Rovers,Alan Shearer - 34(Blackburn Rovers)
1993-1994,FA Premier League,22,Manchester United,Andy Cole - 34(Newcastle United)
1992-1993,FA Premier League,22,Manchester United,Teddy Sheringham - 22(Tottenham Hotspur)
